Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2015,FIFA 16,PS4,15,5073837,5073837,Europe
2015,Call of Duty: Black Ops 3,PS4,9,4573228,4573228,Europe
2015,Star Wars Battlefront (2015),PS4,7,2748418,2748418,Europe
2015,Fallout 4,PS4,8,2660506,2660506,Europe
2015,Grand Theft Auto V,PS4,59,2281513,4854539,Europe
2015,FIFA 16,XOne,15,1766572,1766572,Europe
2015,Call of Duty: Black Ops 3,XOne,9,1745902,1745902,Europe
2015,The Witcher 3: Wild Hunt,PS4,33,1696315,1696315,Europe
2015,FIFA 16,PS3,15,1647745,1647745,Europe
2015,Assassin's Creed Syndicate,PS4,11,1562048,1562048,Europe
2015,Batman: Arkham Knight,PS4,28,1371257,1371257,Europe
2015,Uncharted: The Nathan Drake Collection,PS4,13,1304236,1304236,Europe
2015,Need for Speed (2015),PS4,9,1194318,1194318,Europe
2015,Metal Gear Solid V: The Phantom Pain,PS4,18,1182523,1182523,Europe
2015,Fallout 4,XOne,8,1083816,1083816,Europe
2015,Pokemon Omega Ruby and Alpha Sapphire,3DS,58,1042882,2785145,Europe
2015,Star Wars Battlefront (2015),XOne,7,1018545,1018545,Europe
2015,Splatoon,WiiU,32,1006148,1006148,Europe
2015,Halo 5: Guardians,XOne,10,960585,960585,Europe
2015,FIFA 15,PS4,67,860437,4255032,Europe
2015,Minecraft: PlayStation 4 Edition,PS4,66,849225,1492673,Europe
2015,Battlefield: Hardline,PS4,42,834174,834174,Europe
2015,Animal Crossing: Happy Home Designer,3DS,14,820745,820745,Europe
2015,Minecraft: PlayStation 3 Edition,PS3,86,806904,2212330,Europe
2015,Just Cause 3,PS4,5,804115,804115,Europe
2015,FIFA 16,X360,15,797612,797612,Europe
2015,Call of Duty: Advanced Warfare,PS4,61,786067,3372902,Europe
2015,Call of Duty: Black Ops 3,PS3,9,774951,774951,Europe
2015,Grand Theft Auto V,XOne,59,759777,1705705,Europe
2015,Until Dawn,PS4,19,756635,756635,Europe
2015,Super Mario Maker,WiiU,17,718607,718607,Europe
2015,The Sims 4,PC,70,709384,1442940,Europe
2015,The Order: 1886,PS4,46,697803,697803,Europe
2015,Mario Kart 8,WiiU,84,692815,1933628,Europe
2015,The Last of Us Remastered,PS4,75,645005,1681672,Europe
2015,The Elder Scrolls Online: Tamriel Unlimited,PS4,30,639469,639469,Europe
2015,Rainbow Six: Siege,PS4,5,637877,637877,Europe
2015,Forza Motorsport 6,XOne,16,633088,633088,Europe
2015,Bloodborne,PS4,41,591996,591996,Europe
2015,Destiny: The Taken King,PS4,16,588017,588017,Europe
2015,Far Cry 4,PS4,59,583697,2043594,Europe
2015,Tomodachi Life,3DS,83,575611,1845564,Europe
2015,Project CARS,PS4,35,566117,566117,Europe
2015,Mortal Kombat X,PS4,38,560038,560038,Europe
2015,Dying Light,PS4,45,538688,538688,Europe
2015,The Legend of Zelda: Majora's Mask 3D,3DS,47,504765,504765,Europe
2015,Fallout 4,PC,8,489719,489719,Europe
2015,Rise of the Tomb Raider,XOne,8,488010,488010,Europe
2015,Grand Theft Auto V,PC,38,486031,486031,Europe
2015,NBA 2K16,PS4,14,474897,474897,Europe
2015,Mad Max,PS4,18,474189,474189,Europe
2015,Assassin's Creed Syndicate,XOne,11,473187,473187,Europe
2015,Grand Theft Auto V,PS3,120,471739,8918040,Europe
2015,Mario Kart 7,3DS,214,471071,3707950,Europe
2015,New Super Mario Bros. 2,3DS,177,469858,2869444,Europe
2015,WWE 2K16,PS4,10,461304,461304,Europe
2015,FIFA 15,PS3,67,452687,2995118,Europe
2015,Animal Crossing: New Leaf,3DS,134,444512,2132044,Europe
2015,Middle-Earth: Shadow of Mordor,PS4,66,439450,1300190,Europe
2015,Monster Hunter 4 Ultimate,3DS,47,425557,425557,Europe
2015,Mario Party 10,WiiU,42,425033,425033,Europe
2015,Minecraft: Xbox 360 Edition,X360,132,419433,2535810,Europe
2015,Destiny,PS4,69,418647,1985562,Europe
2015,Pokemon X/Y,3DS,117,416125,3646710,Europe
2015,Assassin's Creed: Unity,PS4,60,412163,1955035,Europe
2015,Super Smash Bros. for Nintendo 3DS,3DS,66,401577,1264053,Europe
2015,The Witcher 3: Wild Hunt,XOne,33,401570,401570,Europe
2015,Yoshi's Woolly World,WiiU,28,401460,401460,Europe
2015,Nintendo Presents: New Style Boutique 2 - Fashion Forward,3DS,7,401066,401066,Europe
2015,The Crew,PS4,57,398587,991556,Europe
2015,Batman: Arkham Knight,XOne,28,396507,396507,Europe
2015,F1 2015,PS4,26,395803,395803,Europe
2015,Dragon Ball: Xenoverse,PS4,45,384708,384708,Europe
2015,Super Smash Bros. for Wii U,WiiU,58,369356,960834,Europe
2015,Farming Simulator 2015,PC,62,368589,883033,Europe
2015,LittleBigPlanet 3,PS4,58,367472,825198,Europe
2015,Evolve,PS4,47,362092,362092,Europe
2015,Just Dance 2016,Wii,11,357652,357652,Europe
2015,Minecraft: Xbox One Edition,XOne,58,353492,594451,Europe
2015,DriveClub,PS4,65,352223,1216891,Europe
2015,Call of Duty: Black Ops 3,X360,9,339107,339107,Europe
2015,Battlefield: Hardline,XOne,42,337649,337649,Europe
2015,Pro Evolution Soccer 2016,PS4,16,336484,336484,Europe
2015,Halo: The Master Chief Collection,XOne,60,331282,935798,Europe
