Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2013,Grand Theft Auto V,PS3,16,16894054,16894054,Global
2013,Grand Theft Auto V,X360,16,13097535,13097535,Global
2013,Pokemon X/Y,3DS,13,10046424,10046424,Global
2013,Call of Duty: Ghosts,X360,9,7767550,7767550,Global
2013,Call of Duty: Ghosts,PS3,9,7646087,7646087,Global
2013,FIFA Soccer 14,PS3,15,5596035,5596035,Global
2013,The Last of Us,PS3,30,4374477,4374477,Global
2013,Animal Crossing: Jump Out,3DS,61,4185260,6251519,Global
2013,FIFA Soccer 14,X360,15,3563482,3563482,Global
2013,Luigi's Mansion: Dark Moon,3DS,42,3447347,3447347,Global
2013,Monster Hunter 4,3DS,17,3234463,3234463,Global
2013,Minecraft,X360,31,3219571,3219571,Global
2013,Just Dance 2014,Wii,14,2723677,2723677,Global
2013,Assassin's Creed IV: Black Flag,PS3,10,2695934,2695934,Global
2013,Battlefield 4,X360,10,2512808,2512808,Global
2013,Battlefield 4,PS3,10,2410621,2410621,Global
2013,Call of Duty: Black Ops II,PS3,60,2396458,12448347,Global
2013,New Super Mario Bros. U,WiiU,59,2222404,3507463,Global
2013,New Super Mario Bros. 2,3DS,76,2215240,7226020,Global
2013,Assassin's Creed IV: Black Flag,X360,10,2165572,2165572,Global
2013,Tomb Raider,PS3,44,2130650,2130650,Global
2013,Call of Duty: Black Ops II,X360,60,2096379,12715318,Global
2013,Gran Turismo 6,PS3,5,1950454,1950454,Global
2013,Mario Kart 7,3DS,110,1895073,9169258,Global
2013,Madden NFL 25,X360,19,1787313,1787313,Global
2013,God of War: Ascension,PS3,43,1765174,1765174,Global
2013,The Legend of Zelda: A Link Between Worlds,3DS,7,1740862,1740862,Global
2013,NBA 2K14,X360,14,1699212,1699212,Global
2013,FIFA Soccer 13,PS3,67,1697815,7908605,Global
2013,Halo 4,X360,61,1693962,8891097,Global
2013,Kinect Adventures!,X360,166,1636590,20888096,Global
2013,Tomodachi Collection: Shin Seikatsu,3DS,38,1627808,1627808,Global
2013,BioShock Infinite,X360,41,1620278,1620278,Global
2013,Super Mario 3D World,WiiU,7,1605148,1605148,Global
2013,Tomb Raider,X360,44,1605004,1605004,Global
2013,Call of Duty: Ghosts,PS4,8,1599624,1599624,Global
2013,Batman: Arkham Origins,PS3,11,1581546,1581546,Global
2013,Far Cry 3,PS3,58,1481858,2875620,Global
2013,Skylanders Swap Force,Wii,12,1433723,1433723,Global
2013,Just Dance 4,Wii,66,1428840,6454266,Global
2013,Madden NFL 25,PS3,19,1398683,1398683,Global
2013,Super Mario 3D Land,3DS,114,1388245,9219459,Global
2013,Gears of War: Judgment,X360,42,1373879,1373879,Global
2013,NBA 2K14,PS3,14,1364604,1364604,Global
2013,Mario & Luigi: Dream Team,3DS,26,1356853,1356853,Global
2013,Call of Duty: Ghosts,XOne,7,1346171,1346171,Global
2013,Nintendo Land,WiiU,59,1341347,2758057,Global
2013,BioShock Infinite,PS3,41,1318872,1318872,Global
2013,FIFA Soccer 14,PS4,8,1268098,1268098,Global
2013,Batman: Arkham Origins,X360,11,1261847,1261847,Global
2013,Saints Row IV,X360,20,1252071,1252071,Global
2013,Battlefield 4,PS4,8,1250942,1250942,Global
2013,Pokemon Black / White Version 2,DS,81,1242092,7191624,Global
2013,Dragon Quest VII: Eden no Senshitachi,3DS,48,1238025,1238025,Global
2013,StarCraft II: Heart of the Swarm,PC,43,1227725,1227725,Global
2013,Killzone: Shadow Fall,PS4,8,1216148,1216148,Global
2013,Donkey Kong Country Returns 3D,3DS,33,1199697,1199697,Global
2013,Far Cry 3,X360,58,1198300,2703854,Global
2013,Assassin's Creed IV: Black Flag,PS4,8,1194778,1194778,Global
2013,New Super Luigi U,WiiU,26,1189211,1189211,Global
2013,Mario Kart Wii,Wii,300,1173122,34271518,Global
2013,Assassin's Creed III,PS3,62,1172085,5782650,Global
2013,Puzzle & Dragons Z,3DS,4,1158389,1158389,Global
2013,The Sims 3 (Mobile Versions),PC,240,1152512,7051762,Global
2013,Wii Sports,Wii,372,1139674,81798787,Global
2013,Metal Gear Rising: Revengeance,PS3,46,1119138,1119138,Global
2013,Kingdom Hearts HD 1.5 ReMIX,PS3,43,1092807,1092807,Global
2013,Beyond: Two Souls,PS3,13,1084041,1084041,Global
2013,Wii Sports Resort,Wii,237,1062364,32212076,Global
2013,New Super Mario Bros. Wii,Wii,216,1024401,27206016,Global
2013,SimCity,PC,44,1022149,1022149,Global
2013,Battlefield 4,XOne,7,1017114,1017114,Global
2013,LEGO Marvel Super Heroes,X360,11,1003848,1003848,Global
2013,FIFA Soccer 13,X360,67,992266,5013930,Global
2013,Ni no Kuni: Wrath of the White Witch,PS3,112,980845,1179788,Global
2013,Assassin's Creed III,X360,62,978698,4784115,Global
2013,NBA 2K13,X360,66,976237,2803182,Global
2013,Wii Party U,WiiU,11,974689,974689,Global
2013,Injustice: Gods Among Us,X360,38,972149,972149,Global
2013,The Elder Scrolls V: Skyrim,X360,113,966920,7755360,Global
2013,Disney Infinity,Wii,20,951537,951537,Global
2013,NCAA Football 14,X360,26,937228,937228,Global
2013,The Elder Scrolls V: Skyrim,PS3,113,932161,5317169,Global
2013,Gran Turismo 5,PS3,163,927244,10308956,Global
2013,LEGO City Undercover: The Chase Begins,3DS,37,926616,926616,Global
2013,Need for Speed: Most Wanted (Limited Edition),PS3,62,920633,2464476,Global
2013,Forza Motorsport 5,XOne,7,907797,907797,Global
2013,LEGO Marvel Super Heroes,PS3,11,888389,888389,Global
2013,Disney Infinity,X360,20,869566,869566,Global
2013,Diablo III,PS3,18,863859,863859,Global
2013,Injustice: Gods Among Us,PS3,38,852881,852881,Global
2013,Dead Space 3,X360,48,832755,832755,Global
2013,Saints Row IV,PS3,20,823284,823284,Global
