Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2009,Dragon Quest IX: Sentinels of the Starry Skies,DS,26,"4,135,942","4,135,942",Japan
2009,Pokemon Heart Gold / Soul Silver Version,DS,17,"3,556,510","3,556,510",Japan
2009,New Super Mario Bros. Wii,Wii,5,"2,746,870","2,746,870",Japan
2009,Tomodachi Collection,DS,29,"2,505,165","2,505,165",Japan
2009,Final Fantasy XIII,PS3,3,"1,752,245","1,752,245",Japan
2009,Wii Sports Resort,Wii,28,"1,632,956","1,632,956",Japan
2009,Wii Fit Plus,Wii,14,"1,417,374","1,417,374",Japan
2009,Monster Hunter Tri,Wii,23,"994,840","994,840",Japan
2009,Inazuma Eleven 2: Kyoui no Shinryokusha,DS,14,"982,512","982,512",Japan
2009,Monster Hunter Freedom Unite,PSP,93,"883,047","3,650,397",Japan
2009,Mario & Luigi: Bowser's Inside Story,DS,47,"746,556","746,556",Japan
2009,Professor Layton and the Last Specter,DS,6,"609,752","609,752",Japan
2009,Yakuza 3,PS3,45,"530,181","530,181",Japan
2009,Kingdom Hearts 358/2 Days,DS,32,"529,763","529,763",Japan
2009,Phantasy Star Portable 2,PSP,5,"499,220","499,220",Japan
2009,Resident Evil 5,PS3,44,"498,057","498,057",Japan
2009,Wii Fit,Wii,110,"476,237","3,575,347",Japan
2009,The Legend of Zelda: Spirit Tracks,DS,2,"427,904","427,904",Japan
2009,Mario Kart Wii,Wii,91,"422,146","2,488,262",Japan
2009,Pokemon Mystery Dungeon: Explorers of Sky,DS,38,"419,046","419,046",Japan
2009,Pro Evolution Soccer 2010,PS3,9,"398,612","398,612",Japan
2009,Dynasty Warriors: Strikeforce,PSP,30,"380,917","380,917",Japan
2009,Taiko no Tatsujin Wii,Wii,56,"377,628","653,489",Japan
2009,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,PSP,5,"371,412","371,412",Japan
2009,Rhythm Heaven,DS,75,"360,094","1,815,646",Japan
2009,Tales of Vesperia,PS3,16,"344,662","344,662",Japan
2009,Tales of the World: Radiant Mythology 2,PSP,37,"332,961","332,961",Japan
2009,SD Gundam G Generation Wars,PS2,22,"309,679","309,679",Japan
2009,New Super Mario Bros.,DS,189,"307,402","5,862,615",Japan
2009,Ace Attorney Investigations: Miles Edgeworth,DS,32,"299,439","299,439",Japan
2009,Pokemon Platinum Version,DS,69,"292,148","2,587,161",Japan
2009,PokePark Wii: Pikachu's Adventure,Wii,5,"287,608","287,608",Japan
2009,Gran Turismo,PSP,14,"285,028","285,028",Japan
2009,Final Fantasy Crystal Chronicles: Echoes of Time,DS,38,"270,424","270,424",Japan
2009,Style Savvy,DS,63,"268,109","892,906",Japan
2009,PES 2009: Pro Evolution Soccer,PS2,49,"257,722","257,722",Japan
2009,Jikkyou Powerful Pro Yakyuu Portable 4,PSP,16,"249,182","249,182",Japan
2009,Monster Hunter G,Wii,37,"246,680","246,680",Japan
2009,Taiko no Tatsujin Wii: Dodon to 2 Yome!,Wii,7,"245,593","245,593",Japan
2009,Mobile Suit Gundam Battlefield Record U.C.0081,PS3,18,"237,505","237,505",Japan
2009,Animal Crossing: City Folk,Wii,59,"236,241","1,206,141",Japan
2009,Mario Kart DS,DS,213,"235,914","3,724,397",Japan
2009,Samurai Warriors 3,Wii,5,"231,090","231,090",Japan
2009,Musou Orochi Z,PS3,43,"229,410","229,410",Japan
2009,Wii Sports,Wii,162,"226,559","3,649,905",Japan
2009,Puyo Puyo 7,DS,23,"224,547","224,547",Japan
2009,Tales of VS.,PSP,22,"223,080","223,080",Japan
2009,New Play Control! Mario Power Tennis,Wii,51,"220,425","220,425",Japan
2009,Final Fantasy: The 4 Heroes of Light,DS,10,"211,609","211,609",Japan
2009,Dragon Ball Z: Attack of the Saiyans,DS,36,"210,942","210,942",Japan
2009,Star Ocean: The Last Hope,X360,29,"210,318","210,318",Japan
2009,Super Robot Taisen K,DS,33,"207,169","207,169",Japan
2009,Shin Megami Tensei: Persona 3 Portable,PSP,9,"205,168","205,168",Japan
2009,Bayonetta,PS3,10,"205,023","205,023",Japan
2009,The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon,PSP,46,"204,275","204,275",Japan
2009,Sloane to MacHale no Nazo no Monogatari,DS,33,"203,604","203,604",Japan
2009,Love Plus,DS,18,"201,790","201,790",Japan
2009,Tales of Graces,Wii,4,"199,922","199,922",Japan
2009,WarioWare D.I.Y.,DS,36,"194,962","194,962",Japan
2009,Sengoku Basara: Battle Heroes,PSP,39,"193,582","193,582",Japan
2009,Mario & Sonic at the Olympic Winter Games,DS,7,"192,772","192,772",Japan
2009,Animal Crossing: Wild World,DS,215,"181,266","5,225,573",Japan
2009,Penguin no Mondai X: Tenkuu no 7 Senshi,DS,24,"180,723","180,723",Japan
2009,Call of Duty: Modern Warfare 2,PS3,4,"179,604","179,604",Japan
2009,Kidou Senshi Gundam: Senjou no Kizuna Portable,PSP,29,"176,676","176,676",Japan
2009,Magician's Quest: Mysterious Times,DS,60,"173,189","449,759",Japan
2009,Hatsune Miku: Project Diva,PSP,27,"170,873","170,873",Japan
2009,SaGa 2: Hihou Densetsu - Goddess of Destiny,DS,16,"169,057","169,057",Japan
2009,Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,Wii,6,"168,155","168,155",Japan
2009,Professor Layton and the Unwound Future,DS,58,"167,049","817,147",Japan
2009,Tekken 6,PS3,10,"166,610","166,610",Japan
2009,Picross 3D,DS,43,"162,576","162,576",Japan
2009,Wii Play,Wii,162,"161,044","2,825,055",Japan
2009,Kirby Super Star Ultra,DS,61,"159,540","1,144,891",Japan
2009,Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,DS,89,"158,664","641,373",Japan
2009,Demon's Souls,PS3,48,"156,001","156,001",Japan
2009,J-League Pro Soccer Club o Tsukurou! 6: Pride of J,PSP,8,"155,141","155,141",Japan
2009,Macross Ultimate Frontier,PSP,14,"153,609","153,609",Japan
2009,Jikkyou Powerful Pro Yakyuu 2009,PS2,40,"152,313","152,313",Japan
2009,Dynasty Warriors 6 Empires,PS3,32,"151,971","151,971",Japan
2009,Dissidia: Final Fantasy,PSP,40,"151,136","910,734",Japan
2009,Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,4,"150,817","150,817",Japan
2009,New Play Control! Pikmin 2,Wii,43,"147,983","147,983",Japan
2009,Pro Yakyuu Spirits 6,PS3,25,"146,599","146,599",Japan
2009,"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",PSP,27,"144,224","144,224",Japan
2009,Street Fighter IV,PS3,47,"142,910","142,910",Japan
2009,Okaeri! Chibi-Robo! Happy Richie Oosouji,DS,24,"141,621","141,621",Japan
2009,Momotarou Dentetsu 20-Shuunen,DS,55,"140,731","322,826",Japan
2009,Pro Evolution Soccer 2010,PSP,4,"140,570","140,570",Japan
2009,Inazuma Eleven,DS,72,"140,048","378,471",Japan
2009,Shin Megami Tensei: Strange Journey,DS,13,"139,360","139,360",Japan
2009,Super Smash Bros. Brawl,Wii,101,"137,442","2,031,470",Japan
2009,Mario & Sonic at the Olympic Winter Games,Wii,9,"135,701","135,701",Japan
2009,7th Dragon,DS,25,"134,481","134,481",Japan
2009,Pro Yakyuu Spirits 6,PS2,25,"132,388","132,388",Japan
2009,Power Pro Kun Pocket 11,DS,55,"132,337","275,027",Japan
2009,Pokemon Diamond / Pearl Version,DS,172,"132,146","5,959,649",Japan
2009,Shin Megami Tensei: Persona,PSP,36,"129,316","129,316",Japan
2009,Power Pro Kun Pocket 12,DS,5,"121,721","121,721",Japan
2009,Shin Megami Tensei: Devil Survivor,DS,27,"120,442","120,442",Japan
