Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area
2009,Wii Sports,Wii,163,"8,925,351","25,927,371",USA
2009,Call of Duty: Modern Warfare 2,X360,8,"5,145,600","5,145,600",USA
2009,Wii Sports Resort,Wii,23,"4,504,264","4,504,264",USA
2009,New Super Mario Bros. Wii,Wii,7,"3,850,217","3,850,217",USA
2009,Wii Fit,Wii,85,"3,812,829","8,112,006",USA
2009,Wii Fit Plus,Wii,13,"3,296,294","3,296,294",USA
2009,Mario Kart Wii,Wii,88,"3,021,777","7,740,284",USA
2009,Halo 3: ODST,X360,15,"2,765,126","2,765,126",USA
2009,Wii Play,Wii,151,"2,729,899","11,712,036",USA
2009,Call of Duty: Modern Warfare 2,PS3,8,"2,712,419","2,712,419",USA
2009,Pokemon Platinum Version,DS,41,"2,061,913","2,061,913",USA
2009,Madden NFL 10,X360,21,"1,870,717","1,870,717",USA
2009,New Super Mario Bros.,DS,190,"1,655,479","6,782,182",USA
2009,Mario Kart DS,DS,216,"1,569,796","5,740,378",USA
2009,Assassin's Creed II,X360,7,"1,557,336","1,557,336",USA
2009,Left 4 Dead 2,X360,7,"1,449,366","1,449,366",USA
2009,Madden NFL 10,PS3,21,"1,443,059","1,443,059",USA
2009,Resident Evil 5,X360,43,"1,283,716","1,283,716",USA
2009,EA Sports Active,Wii,33,"1,208,970","1,208,970",USA
2009,UFC 2009 Undisputed,X360,33,"1,135,981","1,135,981",USA
2009,Mario & Luigi: Bowser's Inside Story,DS,16,"1,113,592","1,113,592",USA
2009,Uncharted 2: Among Thieves,PS3,12,"1,073,683","1,073,683",USA
2009,Call of Duty: World at War,X360,60,"1,032,658","3,613,112",USA
2009,Assassin's Creed II,PS3,7,"1,019,623","1,019,623",USA
2009,Halo 3,X360,119,"1,007,304","6,429,453",USA
2009,Resident Evil 5,PS3,43,"941,543","941,543",USA
2009,Mario & Sonic at the Olympic Winter Games,Wii,12,"935,698","935,698",USA
2009,LEGO Batman: The Videogame,X360,67,"922,110","1,128,530",USA
2009,Borderlands,X360,11,"905,517","905,517",USA
2009,Halo Wars,X360,44,"871,832","871,832",USA
2009,Killzone 2,PS3,45,"871,336","871,336",USA
2009,Dragon Age: Origins,X360,9,"866,570","866,570",USA
2009,Pure,X360,68,"859,706","994,985",USA
2009,Nintendogs,DS,228,"841,434","7,962,994",USA
2009,Street Fighter IV,PS3,46,"795,716","795,716",USA
2009,Street Fighter IV,X360,46,"782,805","782,805",USA
2009,Forza Motorsport 3,X360,10,"753,814","753,814",USA
2009,Batman: Arkham Asylum,PS3,19,"751,996","751,996",USA
2009,UFC 2009 Undisputed,PS3,33,"731,935","731,935",USA
2009,LEGO Star Wars: The Complete Saga,Wii,113,"722,001","1,774,771",USA
2009,Left 4 Dead,X360,59,"714,442","1,736,860",USA
2009,NCAA Football 10,X360,25,"668,479","668,479",USA
2009,Guitar Hero: World Tour,Wii,62,"668,199","2,042,910",USA
2009,Mario & Sonic at the Olympic Winter Games,DS,12,"667,469","667,469",USA
2009,Club Penguin: Elite Penguin Force,DS,58,"662,492","1,156,203",USA
2009,Scribblenauts,DS,16,"643,420","643,420",USA
2009,LEGO Star Wars: The Complete Saga,DS,113,"634,937","1,713,609",USA
2009,inFAMOUS,PS3,32,"634,664","634,664",USA
2009,Super Mario 64 DS,DS,267,"632,335","3,451,259",USA
2009,The Beatles: Rock Band,Wii,17,"631,023","631,023",USA
2009,Batman: Arkham Asylum,X360,19,"619,530","619,530",USA
2009,My Fitness Coach,Wii,57,"612,623","737,326",USA
2009,Cabela's Big Game Hunter 2010,Wii,14,"594,942","594,942",USA
2009,[Prototype],X360,30,"594,655","594,655",USA
2009,Call of Duty: World at War,PS3,60,"591,092","1,750,476",USA
2009,Professor Layton and the Curious Village,DS,99,"586,031","888,805",USA
2009,Link's Crossbow Training,Wii,111,"583,218","2,392,672",USA
2009,Fight Night Round 4,X360,28,"577,799","577,799",USA
2009,LittleBigPlanet,PS3,62,"575,050","1,188,728",USA
2009,Kingdom Hearts 358/2 Days,DS,14,"560,414","560,414",USA
2009,NCAA Football 10,PS3,25,"558,083","558,083",USA
2009,The Legend of Zelda: Spirit Tracks,DS,4,"543,156","543,156",USA
2009,Mario Party DS,DS,111,"523,773","2,337,521",USA
2009,Fallout 3,X360,62,"521,847","1,561,727",USA
2009,Gears of War 2,X360,61,"516,233","2,932,474",USA
2009,Skate 2,X360,50,"508,329","508,329",USA
2009,MLB 09: The Show,PS3,44,"507,625","507,625",USA
2009,Fable II,X360,63,"505,568","1,735,159",USA
2009,Super Smash Bros. Brawl,Wii,95,"503,403","4,307,301",USA
2009,Cooking Mama,DS,173,"495,227","1,899,288",USA
2009,Call of Duty 4: Modern Warfare,X360,113,"489,102","4,630,692",USA
2009,The Beatles: Rock Band,X360,17,"487,864","487,864",USA
2009,Fight Night Round 4,PS3,28,"478,795","478,795",USA
2009,Game Party 2,Wii,65,"471,364","719,201",USA
2009,Disney Sing It: Pop Hits,Wii,13,"471,320","471,320",USA
2009,Brain Age: Train Your Brain in Minutes a Day,DS,194,"470,408","4,097,230",USA
2009,Guitar Hero: World Tour,X360,62,"461,994","1,405,587",USA
2009,Major League Baseball 2K9,X360,44,"459,701","459,701",USA
2009,NBA 2K10,X360,13,"459,485","459,485",USA
2009,Bakugan: Battle Brawlers,DS,11,"443,886","443,886",USA
