Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2009,Wii Sports,Wii,161,6773140,20011195,Europe,124293.1366
2010,Wii Sports,Wii,213,5723751,25734945,Europe,120821.338
2011,Wii Sports,Wii,265,515259,27741598,Europe,104685.2755
2012,Wii Sports,Wii,317,568827,28334049,Europe,89381.85804
2013,Wii Sports,Wii,370,310104,28644153,Europe,77416.62973
2012,Wii Fit Plus,Wii,166,393061,11243061,Europe,67729.28313
2011,Mario Kart Wii,Wii,195,845067,11515250,Europe,59052.5641
2008,Nintendogs,DS,170,2113845,9654075,Europe,56788.67647
2009,Wii Play,Wii,161,2135405,8465739,Europe,52582.22981
2017,Grand Theft Auto V,PS4,163,1771657,8519517,Europe,52266.97546
2012,Mario Kart Wii,Wii,247,638254,12078843,Europe,48902.19838
2009,Nintendogs,DS,222,719692,10373768,Europe,46728.68468
2018,Grand Theft Auto V,PS4,215,1191004,9710521,Europe,45165.21395
2009,Brain Age: Train Your Brain in Minutes a Day,DS,187,1434876,8389728,Europe,44864.85561
2010,Wii Play,Wii,213,549327,9015065,Europe,42324.24883
2013,Mario Kart Wii,Wii,300,262812,12341655,Europe,41138.85
2012,New Super Mario Bros. Wii,Wii,163,526020,6264942,Europe,38435.22699
2010,Brain Age: Train Your Brain in Minutes a Day,DS,239,555401,8945129,Europe,37427.31799
2009,New Super Mario Bros.,DS,184,1169737,6040251,Europe,32827.45109
2010,New Super Mario Bros.,DS,236,1644027,7684277,Europe,32560.49576
2013,New Super Mario Bros. Wii,Wii,216,292395,6557337,Europe,30358.04167
2011,New Super Mario Bros.,DS,288,314917,8473717,Europe,29422.62847
2016,PokÃÂ©mon X/Y,3DS,169,793636,4837996,Europe,28627.19527
2013,Gran Turismo 5,PS3,163,359329,4657444,Europe,28573.27607
2013,Kinect Adventures!,X360,165,444079,4674196,Europe,28328.46061
2008,Mario Kart DS,DS,163,1831422,4442753,Europe,27256.15337
2009,Mario Kart DS,DS,215,1365638,5808387,Europe,27015.75349
2012,New Super Mario Bros.,DS,340,355789,8728511,Europe,25672.09118
2017,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,162,322708,3949805,Europe,24381.51235
2018,Fallout 4,PS4,164,340929,3965093,Europe,24177.39634
2010,Mario Kart DS,DS,267,890492,6408460,Europe,24001.72285
2013,The Sims 3,PC,240,788685,5666405,Europe,23610.02083
2017,PokÃÂ©mon X/Y,3DS,221,327723,5035582,Europe,22785.43891
2011,Mario Kart DS,DS,319,199057,6876158,Europe,21555.35423
2014,The Sims 3,PC,292,450327,6116731,Europe,20947.7089
2014,Mario Kart 7,3DS,162,554394,3232282,Europe,19952.35802
2017,Grand Theft Auto V,XOne,163,608591,2867211,Europe,17590.25153
2015,Mario Kart 7,3DS,214,471071,3707950,Europe,17326.86916
2016,Mario Kart,3DS,266,568958,4423671,Europe,16630.34211
2014,Super Mario 3D Land,3DS,164,321574,2689756,Europe,16400.95122
2015,New Super Mario Bros. 2,3DS,177,469858,2869444,Europe,16211.54802
2017,MineCraft,PS4,170,550276,2662414,Europe,15661.25882
2017,Mario Kart,3DS,318,501430,4925101,Europe,15487.73899
2016,New Super Mario Bros. 2,3DS,229,494829,3468926,Europe,15148.14847
2018,Grand Theft Auto V,XOne,215,381074,3248285,Europe,15108.30233
2014,The Elder Scrolls V: Skyrim,PS3,165,291505,2479231,Europe,15025.64242
2018,The Witcher 3: Wild Hunt,PS4,189,236140,2815208,Europe,14895.28042
2009,Animal Crossing: Wild World,DS,197,432976,2920416,Europe,14824.4467
2018,Mario Kart,3DS,370,428909,5354010,Europe,14470.2973
2016,Animal Crossing: New Leaf,3DS,186,338105,2678469,Europe,14400.37097
2017,The Last of Us,PS4,179,278139,2568654,Europe,14350.02235
2009,Big Brain Academy,DS,183,347898,2613399,Europe,14280.86885
2012,The Sims 3,PC,187,460967,2667117,Europe,14262.65775
2018,MineCraft,PS4,222,466608,3129022,Europe,14094.69369
2017,New Super Mario Bros. 2,3DS,281,396399,3865325,Europe,13755.60498
2017,The Sims 4,PC,174,336199,2345654,Europe,13480.77011
2018,Tom Clancy's Rainbow Six: Siege,PS4,161,269502,2059152,Europe,12789.76398
2018,The Last of Us,PS4,231,291876,2860530,Europe,12383.24675
2018,The Sims 4,PC,226,250809,2596463,Europe,11488.77434
2008,Super Mario 64 DS,DS,200,520114,2203978,Europe,11019.89
2017,MineCraft,XOne,163,331552,1437651,Europe,8819.944785
2008,World of Warcraft,PC,204,510979,1720817,Europe,8435.377451
2018,MineCraft,XOne,215,276977,1714628,Europe,7975.013953
2017,Diablo III,PS4,176,269604,1326424,Europe,7536.5
2016,New Super Mario Bros. U,WiiU,214,288717,1520136,Europe,7103.439252
2017,The Legend of Zelda: Ocarina of Time,3DS,342,269259,1706450,Europe,4989.619883
