Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2008,Wii Sports,Wii,109,8072913,13238052,Europe,121450.0183
2011,Wii Sports Resort,Wii,128,524528,10244251,Europe,80033.21094
2015,Grand Theft Auto V,PS3,120,471739,8918040,Europe,74317
2010,Mario Kart Wii,Wii,143,2030067,9804448,Europe,68562.57343
2011,Wii Fit Plus,Wii,114,394414,7495706,Europe,65751.80702
2007,Nintendogs,DS,117,2799944,7540228,Europe,64446.39316
2016,Grand Theft Auto V,PS4,111,2124310,6839864,Europe,61620.3964
2008,Wii Play,Wii,109,4184156,6330332,Europe,58076.44037
2011,New Super Mario Bros. Wii,Wii,111,376054,5883058,Europe,53000.52252
2008,Brain Age: Train Your Brain in Minutes a Day,DS,135,2798693,6954851,Europe,51517.41481
2014,Call of Duty: Black Ops II,PS3,112,405952,5465887,Europe,48802.5625
2013,Call of Duty: Modern Warfare 3,PS3,113,278737,5442081,Europe,48160.00885
2012,Gran Turismo 5,PS3,110,781794,4298115,Europe,39073.77273
2009,Brain Age 2: More Training in Minutes a Day,DS,132,814919,5028172,Europe,38092.21212
2012,Kinect Adventures!,X360,112,894356,4230117,Europe,37768.90179
2008,New Super Mario Bros.,DS,132,1783537,4870517,Europe,36897.85606
2012,Call of Duty: Black Ops,PS3,112,279526,3928233,Europe,35073.50893
2016,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,110,923152,3708297,Europe,33711.79091
2009,Pokemon Diamond / Pearl Version,DS,128,384769,4175917,Europe,32624.35156
2017,Fallout 4,PS4,112,541853,3624164,Europe,32358.60714
2009,Mario & Sonic at the Olympic Games,Wii,111,488165,3566512,Europe,32130.73874
2015,Pokemon X/Y,3DS,117,416125,3646710,Europe,31168.46154
2012,Wii Party,Wii,117,389418,3164794,Europe,27049.52137
2011,Just Dance,Wii,110,153614,2795819,Europe,25416.53636
2013,Mario Kart 7,3DS,110,693742,2677888,Europe,24344.43636
2013,Battlefield 3,PS3,115,299171,2749888,Europe,23912.06957
2007,Mario Kart DS,DS,110,868669,2611327,Europe,23739.33636
2013,The Elder Scrolls V: Skyrim,X360,113,379883,2530952,Europe,22397.80531
2009,Super Mario Galaxy,Wii,112,387836,2498926,Europe,22311.83929
2013,Uncharted 3: Drake's Deception,PS3,114,349889,2536374,Europe,22248.89474
2013,Super Mario 3D Land,3DS,112,456024,2368182,Europe,21144.48214
2016,Grand Theft Auto V,XOne,111,680370,2315170,Europe,20857.38739
2009,Halo 3,X360,119,349421,2333672,Europe,19610.68908
2013,The Elder Scrolls V: Skyrim,PS3,113,367194,2184931,Europe,19335.67257
2015,Minecraft: Xbox 360 Edition,X360,132,419433,2535810,Europe,19210.68182
2014,New Super Mario Bros. 2,3DS,125,445961,2395332,Europe,19162.656
2017,The Witcher 3: Wild Hunt,PS4,137,419920,2579068,Europe,18825.31387
2016,The Last of Us,PS4,127,500495,2290515,Europe,18035.55118
2016,MineCraft,PS4,118,701046,2126819,Europe,18023.88983
2016,Mario Kart Wii U,WiiU,136,361195,2391487,Europe,17584.46324
2009,Call of Duty 4: Modern Warfare,X360,113,383974,1970515,Europe,17438.18584
2008,Big Brain Academy,DS,131,868258,2265499,Europe,17293.8855
2008,Animal Crossing: Wild World,DS,145,544833,2487443,Europe,17154.77931
2016,Tomodachi Life,3DS,135,433231,2293370,Europe,16987.92593
2016,The Sims 4,PC,122,551580,2009455,Europe,16470.94262
2017,Tom Clancy's Rainbow Six: Siege,PS4,109,569746,1789650,Europe,16418.80734
2007,Grand Theft Auto: Liberty City Stories,PSP,113,394148,1840287,Europe,16285.72566
2015,Animal Crossing: New Leaf,3DS,134,444512,2132044,Europe,15910.77612
2011,The Sims 3,PC,135,230397,2130246,Europe,15779.6
2009,Call of Duty 4: Modern Warfare,PS3,113,345382,1766704,Europe,15634.54867
2008,Cooking Mama,DS,109,586932,1639171,Europe,15038.26606
2013,The Elder Scrolls V: Skyrim,PC,113,354080,1680642,Europe,14872.93805
2012,Red Dead Redemption,PS3,137,293299,1991632,Europe,14537.45985
2016,DriveClub,PS4,117,273040,1594030,Europe,13624.18803
2014,Diablo III,PC,138,616441,1846762,Europe,13382.33333
2018,The Elder Scrolls V: Skyrim,PS4,114,236169,1500241,Europe,13160.00877
2015,Battlefield 4,PS4,110,316575,1399886,Europe,12726.23636
2008,Grand Theft Auto: Vice City Stories,PSP,114,530411,1442434,Europe,12652.92982
2018,PlayStation VR Worlds,PS4,116,801705,1402384,Europe,12089.51724
2007,Super Mario 64 DS,DS,147,488080,1683862,Europe,11454.84354
2008,Clubhouse Games,DS,119,735733,1306465,Europe,10978.69748
2007,Sonic Rush,DS,111,573960,1196041,Europe,10775.14414
2018,Doom (2016),PS4,138,279044,1482171,Europe,10740.36957
2018,Rocket League,PS4,132,351414,1338952,Europe,10143.57576
2016,MineCraft,XOne,111,511648,1106099,Europe,9964.855856
2009,LEGO Star Wars: The Complete Saga,DS,112,315476,1074754,Europe,9596.017857
2015,Super Mario 3D World,WiiU,110,275276,1020967,Europe,9281.518182
2014,New Super Mario Bros. U,WiiU,110,349060,998911,Europe,9081.009091
2009,LEGO Star Wars: The Complete Saga,Wii,112,381993,1014194,Europe,9055.303571
2016,Diablo III,PS4,124,326865,1051784,Europe,8482.129032
2009,Ratchet & Clank: Size Matters,PSP,139,292217,1171601,Europe,8428.784173
2007,World of Warcraft,PC,151,449671,1209839,Europe,8012.178808
2008,Super Monkey Ball: Banana Blitz,Wii,109,454579,803266,Europe,7369.412844
2010,Peppa Pig: The Game,DS,110,322827,688062,Europe,6255.109091
2018,LEGO Harry Potter Collection,PS4,115,244573,676699,Europe,5884.33913
2016,Mario Party 3D,3DS,155,291583,800890,Europe,5167.032258
