Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2018,Red Dead Redemption 2,PS4,10,6212387,6212387,Europe,621238.7
2017,Call of Duty: WWII,PS4,9,5394390,5394390,Europe,599376.6667
2012,Call of Duty: Black Ops II,PS3,7,4086250,4086250,Europe,583750
2016,Pokemon Sun/Moon,3DS,6,3265016,3265016,Europe,544169.3333
2017,FIFA 18,PS4,14,7522953,7522953,Europe,537353.7857
2015,Call of Duty: Black Ops 3,PS4,9,4573228,4573228,Europe,508136.4444
2016,FIFA 17,PS4,14,7031481,7031481,Europe,502248.6429
2018,FIFA 19,PS4,14,6869742,6869742,Europe,490695.8571
2011,Call of Duty: Modern Warfare 3,PS3,8,3852615,3852615,Europe,481576.875
2012,Call of Duty: Black Ops II,X360,7,3307094,3307094,Europe,472442
2013,Grand Theft Auto V,PS3,16,7221096,7221096,Europe,451318.5
2011,Call of Duty: Modern Warfare 3,X360,8,3497745,3497745,Europe,437218.125
2018,Super Smash Bros. (2018),NS,4,1716515,1716515,Europe,429128.75
2010,Gran Turismo 5,PS3,6,2432185,2432185,Europe,405364.1667
2015,Star Wars Battlefront (2015),PS4,7,2748418,2748418,Europe,392631.1429
2010,Call of Duty: Black Ops,PS3,8,2922814,2922814,Europe,365351.75
2014,Grand Theft Auto V,PS4,7,2460053,2460053,Europe,351436.1429
2015,FIFA 16,PS4,15,5073837,5073837,Europe,338255.8
2015,Fallout 4,PS4,8,2660506,2660506,Europe,332563.25
2009,New Super Mario Bros. Wii,Wii,7,2291441,2291440,Europe,327348.5714
2010,Call of Duty: Black Ops,X360,8,2559489,2559489,Europe,319936.125
2013,Call of Duty: Ghosts,PS3,9,2727079,2727079,Europe,303008.7778
2016,Call of Duty: Infinite Warfare,PS4,9,2667653,2667653,Europe,296405.8889
2014,Pokemon Omega Ruby and Alpha Sapphire,3DS,6,1742263,1742263,Europe,290377.1667
2009,Wii Fit Plus,Wii,10,2828989,2828990,Europe,282899
2009,Call of Duty: Modern Warfare 2,X360,8,2261725,2261725,Europe,282715.625
2009,Call of Duty: Modern Warfare 2,PS3,8,2213839,2213839,Europe,276729.875
2012,FIFA 13,PS3,14,3843671,3843671,Europe,274547.9286
2016,Battlefield 1,PS4,11,3011270,3011270,Europe,273751.8182
2018,Call of Duty: Black Ops IIII,PS4,12,3281708,3281708,Europe,273475.6667
2013,Grand Theft Auto V,X360,16,4307110,4307110,Europe,269194.375
2014,Call of Duty: Advanced Warfare,PS4,9,2413364,2413364,Europe,268151.5556
2016,Final Fantasy XV,PS4,5,1303699,1303699,Europe,260739.8
