Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2010,New Super Mario Bros. Wii,Wii,59,10938968,20956187,Global,355189.610169491
2007,Wii Sports,Wii,58,14794664,17359679,Global,299304.810344828
2010,Wii Sports Resort,Wii,80,11379903,23893549,Global,298669.3625
2014,Grand Theft Auto V,PS3,68,2375323,19651441,Global,288991.779411765
2010,Wii Fit Plus,Wii,66,8574349,17025103,Global,257956.106060606
2017,Pokemon Sun/Moon,3DS,59,2897531,14932061,Global,253085.779661017
2011,Kinect Adventures!,X360,61,7883750,15067448,Global,247007.344262295
2016,Call of Duty: Black Ops 3,PS4,61,4035701,14494243,Global,237610.540983607
2008,Wii Fit,Wii,58,12684441,13563157,Global,233847.534482759
2012,Call of Duty: Modern Warfare 3,X360,60,2177827,13705821,Global,228430.35
2009,Mario Kart Wii,Wii,91,7421142,20661738,Global,227052.065934066
2011,Call of Duty: Black Ops,X360,60,2665288,13186555,Global,219775.916666667
2018,Call of Duty: WWII,PS4,61,1736545,13401959,Global,219704.245901639
2014,Grand Theft Auto V,X360,68,1807527,14905062,Global,219192.088235294
2013,Call of Duty: Black Ops II,X360,60,2096379,12715318,Global,211921.966666667
2013,Call of Duty: Black Ops II,PS3,60,2396458,12448347,Global,207472.45
2012,Call of Duty: Modern Warfare 3,PS3,60,2209581,12165203,Global,202753.383333333
2011,Pokémon Black and White,DS,68,8539874,13590782,Global,199864.441176471
2010,Call of Duty: Modern Warfare 2,X360,60,3151456,11924754,Global,198745.9
2007,Pokemon Diamond / Pearl Version,DS,67,8518663,12992355,Global,193915.746268657
2014,Pokemon X/Y,3DS,65,2547336,12593760,Global,193750.153846154
2018,Super Mario Odyssey,NS,62,3998578,11714226,Global,188939.129032258
2011,Call of Duty: Black Ops,PS3,60,2459689,11165574,Global,186092.9
2018,FIFA 18,PS4,66,1690579,11798489,Global,178764.984848485
2015,Pokemon Omega Ruby and Alpha Sapphire,3DS,59,2374173,9966649,Global,168926.254237288
2017,FIFA 17,PS4,66,1308147,10889731,Global,164995.924242424
2015,Grand Theft Auto V,PS4,59,4318817,9695100,Global,164323.728813559
2007,Wii Play,Wii,57,8192481,8939670,Global,156836.315789474
2014,Call of Duty: Ghosts,X360,61,1666432,9433982,Global,154655.442622951
2010,Call of Duty: Modern Warfare 2,PS3,60,2836354,9176321,Global,152938.683333333
2014,Call of Duty: Ghosts,PS3,61,1867479,9213889,Global,151047.360655738
2010,Pokemon Heart Gold / Soul Silver Version,DS,69,6731984,10288494,Global,149108.608695652
2018,Mario Kart 8 Deluxe,NS,88,6688249,13046117,Global,148251.329545455
2007,New Super Mario Bros.,DS,85,4577916,12579156,Global,147990.070588235
2012,Just Dance 3,Wii,65,2375772,9540183,Global,146772.046153846
2013,Halo 4,X360,61,1693962,8891097,Global,145755.68852459
2011,Just Dance 2,Wii,64,3965581,8820016,Global,137812.75
2017,Call of Duty: Infinite Warfare,PS4,61,1909116,8104413,Global,132859.229508197
2008,Halo 3,X360,67,2046996,8882319,Global,132571.925373134
2016,Star Wars Battlefront (2015),PS4,59,1788945,7745972,Global,131287.661016949
2012,Super Mario 3D Land,3DS,61,3272335,7825991,Global,128294.93442623
2011,Halo: Reach,X360,68,1593350,8693832,Global,127850.470588235
2012,Mario Kart 7,3DS,57,3379678,7267772,Global,127504.771929825
2011,Gran Turismo 5,PS3,58,2159775,7370248,Global,127073.24137931
2015,Call of Duty: Advanced Warfare,PS4,61,1735885,7454487,Global,122204.704918033
2016,FIFA 16,PS4,67,1523922,8159015,Global,121776.343283582
2018,Pokemon: Ultra Sun and Ultra Moon,3DS,59,1842871,7151768,Global,121216.406779661
2008,Super Mario Galaxy,Wii,62,3058162,7442471,Global,120039.85483871
2013,FIFA Soccer 13,PS3,67,1697815,7908605,Global,118038.880597015
2016,Fallout 4,PS4,60,1626583,7058744,Global,117645.733333333
2016,Call of Duty: Black Ops 3,XOne,61,1419051,7094234,Global,116298.918032787
2017,Uncharted (PS4),PS4,86,1588628,9887369,Global,114969.406976744
2012,The Elder Scrolls V: Skyrim,X360,60,1925135,6788440,Global,113140.666666667
2017,Battlefield 1,PS4,63,1160762,7122536,Global,113056.126984127
2008,Call of Duty 4: Modern Warfare,X360,61,2942658,6836442,Global,112072.819672131
2008,Mario & Sonic at the Olympic Games,Wii,61,3951960,6461712,Global,105929.704918033
2012,Battlefield 3,X360,62,1415530,6458880,Global,104175.483870968
2015,Super Smash Bros. for Nintendo 3DS,3DS,69,1579143,7184680,Global,104125.797101449
2013,Animal Crossing: Jump Out,3DS,61,4185260,6251519,Global,102483.918032787
2018,Call of Duty: WWII,XOne,61,789649,6230027,Global,102131.590163934
2014,FIFA Soccer 14,PS3,67,1190912,6745238,Global,100675.194029851
2009,Call of Duty: World at War,X360,60,1716398,5984776,Global,99746.2666666667
2018,The Legend of Zelda: Breath of the Wild,NS,96,3387011,9460827,Global,98550.28125
2012,Battlefield 3,PS3,62,1660403,6071099,Global,97920.9516129032
2013,Just Dance 4,Wii,66,1428840,6454266,Global,97791.9090909091
2009,Pokemon Platinum Version,DS,69,4394223,6689236,Global,96945.4492753623
2013,New Super Mario Bros. 2,3DS,76,2215240,7226020,Global,95079.2105263158
2012,FIFA Soccer 12,PS3,66,1398700,6241011,Global,94560.7727272727
2013,Assassin's Creed III,PS3,62,1172085,5782650,Global,93268.5483870968
2011,Donkey Kong Country Returns,Wii,58,1723440,5379404,Global,92748.3448275862
2018,Splatoon 2,NS,76,2932784,7037733,Global,92601.75
2009,Super Smash Bros. Brawl,Wii,101,1312664,9230695,Global,91393.0198019802
