Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2009,Wii Sports,Wii,163,18788738,57990430,Global,355769.509202454
2010,Wii Sports,Wii,215,15218276,73208706,Global,340505.609302326
2011,Wii Sports,Wii,267,5215358,78424064,Global,293723.086142322
2012,Wii Sports,Wii,319,2399253,80666504,Global,252873.053291536
2013,Wii Sports,Wii,372,1139674,81798787,Global,219889.212365591
2012,Wii Sports Resort,Wii,184,2035009,31152598,Global,169307.597826087
2009,Wii Play,Wii,162,5914275,26657720,Global,164553.827160494
2012,New Super Mario Bros. Wii,Wii,163,1802288,26186553,Global,160653.699386503
2011,Mario Kart Wii,Wii,195,5344655,31203306,Global,160016.953846154
2013,Wii Sports Resort,Wii,237,1062364,32212076,Global,135915.932489451
2012,Mario Kart Wii,Wii,247,2044458,33104438,Global,134026.064777328
2010,Wii Play,Wii,214,1565242,28222962,Global,131883
2013,New Super Mario Bros. Wii,Wii,216,1024401,27206016,Global,125953.777777778
2013,Kinect Adventures!,X360,166,1636590,20888096,Global,125831.903614458
2012,Wii Fit Plus,Wii,170,1017669,21071271,Global,123948.652941176
2013,Mario Kart Wii,Wii,300,1173122,34271518,Global,114238.393333333
2008,Nintendogs,DS,194,4614988,21623290,Global,111460.257731959
2009,New Super Mario Bros.,DS,190,3651330,21072125,Global,110905.921052632
2010,New Super Mario Bros.,DS,242,4013577,25612506,Global,105836.801652893
2017,Grand Theft Auto V,PS4,163,3583468,17113539,Global,104991.036809816
2009,Pokemon Diamond / Pearl Version,DS,172,1107818,17431803,Global,101347.691860465
2009,Nintendogs,DS,246,1927947,23551237,Global,95736.7357723577
2011,New Super Mario Bros.,DS,294,2297818,27910324,Global,94933.074829932
2016,PokÃÂ©mon X/Y,3DS,169,1638911,15597987,Global,92295.7810650888
2018,Grand Theft Auto V,PS4,215,2278958,19392497,Global,90197.6604651163
2008,Brain Age: Train Your Brain in Minutes a Day,DS,190,5408016,16485645,Global,86766.5526315789
2008,Mario Kart DS,DS,164,4580397,13689119,Global,83470.2378048781
