Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2018,Super Smash Bros. (2018),NS,4,8951009,8951009,Global,2237752.25
2016,Pokemon Sun/Moon,3DS,7,12034530,12034530,Global,1719218.57142857
2011,Call of Duty: Modern Warfare 3,X360,8,12561893,12561893,Global,1570236.625
2012,Call of Duty: Black Ops II,X360,7,10425836,10425836,Global,1489405.14285714
2009,New Super Mario Bros. Wii,Wii,7,10017219,10017219,Global,1431031.28571429
2018,Red Dead Redemption 2,PS4,10,13940203,13940203,Global,1394020.3
2010,Call of Duty: Black Ops,X360,8,10521267,10521267,Global,1315158.375
2017,Call of Duty: WWII,PS4,9,11665414,11665414,Global,1296157.11111111
2011,Call of Duty: Modern Warfare 3,PS3,8,10320405,10320405,Global,1290050.625
2012,Call of Duty: Black Ops II,PS3,7,8761145,8761145,Global,1251592.14285714
2015,Call of Duty: Black Ops 3,PS4,9,10556687,10556687,Global,1172965.22222222
2009,Call of Duty: Modern Warfare 2,X360,8,8773298,8773298,Global,1096662.25
2010,Call of Duty: Black Ops,PS3,8,8705885,8705885,Global,1088235.625
2014,Pokemon Omega Ruby and Alpha Sapphire,3DS,7,7527047,7527047,Global,1075292.42857143
2013,Grand Theft Auto V,PS3,16,16894054,16894054,Global,1055878.375
2015,Star Wars: Battlefront (2015),PS4,7,6545898,6545898,Global,935128.285714286
2012,Halo 4,X360,8,7197135,7197135,Global,899641.875
2011,Star Wars: The Old Republic,PC,2,1755362,1755362,Global,877681
2010,Gran Turismo 5,PS3,6,5264164,5264164,Global,877360.666666667
2013,Call of Duty: Ghosts,X360,9,7767550,7767550,Global,863061.111111111
2013,Call of Duty: Ghosts,PS3,9,7646087,7646087,Global,849565.222222222
2013,Grand Theft Auto V,X360,16,13097535,13097535,Global,818595.9375
2010,Kinect Adventures!,X360,9,7183698,7183698,Global,798188.666666667
2009,Call of Duty: Modern Warfare 2,PS3,8,6339967,6339967,Global,792495.875
2011,Mario Kart 7,3DS,5,3925017,3925017,Global,785003.4
2016,Final Fantasy XV,PS4,5,3917803,3917803,Global,783560.6
2018,Call of Duty: Black Ops IIII,PS4,12,9317241,9317241,Global,776436.75
2014,Grand Theft Auto V,PS4,7,5411940,5411940,Global,773134.285714286
2013,Pokemon X/Y,3DS,13,10046424,10046424,Global,772801.846153846
2017,Super Mario Odyssey,NS,10,7715648,7715648,Global,771564.8
2017,Pokemon: Ultra Sun and Ultra Moon,3DS,7,5308897,5308897,Global,758413.857142857
2010,Monster Hunter Freedom 3,PSP,5,3762348,3762348,Global,752469.6
2015,Fallout 4,PS4,8,5806479,5806479,Global,725809.875
2017,FIFA 18,PS4,14,10107910,10107910,Global,721993.571428571
2016,Call of Duty: Infinite Warfare,PS4,9,6195297,6195297,Global,688366.333333333
2016,FIFA 17,PS4,14,9581584,9581584,Global,684398.857142857
2018,FIFA 19,PS4,14,9147505,9147505,Global,653393.214285714
2018,"Pokemon: Let's Go, Pikachu!",NS,7,4566580,4566580,Global,652368.571428571
2015,Call of Duty: Black Ops 3,XOne,9,5824272,5824272,Global,647141.333333333
2014,Call of Duty: Advanced Warfare,PS4,9,5684918,5684918,Global,631657.555555556
2011,The Elder Scrolls V: Skyrim,X360,8,4955475,4955475,Global,619434.375
2009,Wii Fit Plus,Wii,14,8667441,8667441,Global,619102.928571429
2010,Donkey Kong Country Returns,Wii,6,3655964,3655964,Global,609327.333333333
2017,Call of Duty: WWII,XOne,9,5440378,5440378,Global,604486.444444444
2009,Final Fantasy XIII,PS3,3,1752245,1752245,Global,584081.666666667
2010,World of Warcraft: Cataclysm,PC,4,2331817,2331817,Global,582954.25
2018,Red Dead Redemption 2,XOne,10,5771147,5771147,Global,577114.7
2014,Youkai Watch 2 Shinuchi,3DS,4,2246908,2246908,Global,561727
2011,Just Dance 3,Wii,13,7299300,7299300,Global,561484.615384615
2016,Battlefield 1,PS4,11,5961774,5961774,Global,541979.454545455
2008,Call of Duty: World at War,X360,8,4268378,4268378,Global,533547.25
2018,Spider-Man (PS4),PS4,17,8757859,8757859,Global,515168.176470588
2011,Battlefield 3,X360,10,5141407,5141407,Global,514140.7
2011,Super Mario 3D Land,3DS,9,4606466,4606466,Global,511829.555555556
2007,Halo 3,X360,14,6835323,6835323,Global,488237.357142857
2017,Star Wars Battlefront II (2017),PS4,7,3412675,3412675,Global,487525
2007,Super Mario Galaxy,Wii,9,4384309,4384309,Global,487145.444444444
2007,Call of Duty 4: Modern Warfare,X360,8,3893784,3893784,Global,486723
2012,Assassin's Creed III,PS3,9,4328682,4328682,Global,480964.666666667
2008,Gears of War 2,X360,9,4223193,4223193,Global,469243.666666667
2015,FIFA 16,PS4,15,6956922,6956922,Global,463794.8
2009,Wii Sports Resort,Wii,28,12513646,12513646,Global,446915.928571429
2011,Battlefield 3,PS3,10,4456210,4456210,Global,445621
2010,Halo: Reach,X360,16,7100482,7100482,Global,443780.125
2014,Call of Duty: Advanced Warfare,XOne,9,3945279,3945279,Global,438364.333333333
2009,Assassin's Creed II,X360,7,3050719,3050719,Global,435817
2016,Call of Duty: Infinite Warfare,XOne,9,3869585,3869585,Global,429953.888888889
2011,Assassin's Creed: Revelations,X360,7,2981834,2981834,Global,425976.285714286
2015,Monster Hunter X,3DS,6,2541984,2541984,Global,423664
2012,Assassin's Creed III,X360,9,3805417,3805417,Global,422824.111111111
2015,Fallout 4,XOne,8,3382347,3382347,Global,422793.375
2010,Assassin's Creed: Brotherhood,X360,7,2948102,2948102,Global,421157.428571429
2011,The Legend of Zelda: Skyward Sword,Wii,7,2903322,2903322,Global,414760.285714286
2014,Super Smash Bros. for Wii U,WiiU,7,2888156,2888156,Global,412593.714285714
2015,Star Wars: Battlefront (2015),XOne,7,2872247,2872247,Global,410321
2012,Just Dance 4,Wii,13,5329143,5329143,Global,409934.076923077
2010,Just Dance 2,Wii,12,4854435,4854435,Global,404536.25
