Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2010,Monster Hunter Freedom 3,PSP,5,3762348,3762348,Japan,752469.6
2014,Youkai Watch 2 Shinuchi,3DS,3,2044325,2044325,Japan,681441.666666667
2018,Super Smash Bros. (2018),NS,4,2405404,2405404,Japan,601351
2009,Final Fantasy XIII,PS3,3,1752245,1752245,Japan,584081.666666667
2009,New Super Mario Bros. Wii,Wii,5,2746870,2746870,Japan,549374
2016,Pokemon Sun/Moon,3DS,7,3286865,3286865,Japan,469552.142857143
2015,Monster Hunter X,3DS,6,2541984,2541984,Japan,423664
2014,Pocket Monsters Omega Ruby and Alpha Sapphire,3DS,6,2445273,2445273,Japan,407545.5
2010,Pokemon Black / White Version,DS,16,5050908,5050908,Japan,315681.75
2013,Pocket Monsters X/Y,3DS,13,3937983,3937983,Japan,302921.769230769
2017,Pokemon: Ultra Sun and Ultra Moon,3DS,7,2069245,2069245,Japan,295606.428571429
2013,Puzzle & Dragons Z,3DS,4,1158389,1158389,Japan,289597.25
2012,Animal Crossing: Jump Out,3DS,8,2066259,2066259,Japan,258282.375
2008,Dissidia: Final Fantasy,PSP,3,759598,759598,Japan,253199.333333333
2011,Monster Hunter 3G,3DS,4,986674,986674,Japan,246668.5
2011,Final Fantasy XIII-2,PS3,3,716727,716727,Japan,238909
2011,Mario Kart 7,3DS,5,1189238,1189238,Japan,237847.6
2015,Monster Strike 3DS,3DS,3,712244,712244,Japan,237414.666666667
2009,The Legend of Zelda: Spirit Tracks,DS,2,427904,427904,Japan,213952
2007,Final Fantasy IV,DS,2,425476,425476,Japan,212738
2009,Pokemon Heart Gold / Soul Silver Version,DS,17,3556510,3556510,Japan,209206.470588235
2007,Super Robot Taisen OG: Original Generations Gaiden,PS2,1,203209,203209,Japan,203209
2014,Monster Hunter 4G,3DS,12,2364646,2364646,Japan,197053.833333333
2013,Monster Hunter 4,3DS,17,3234463,3234463,Japan,190262.529411765
2016,Yo-Kai Watch 3: Sukiyaki,3DS,3,562730,562730,Japan,187576.666666667
2016,Final Fantasy XV,PS4,5,886778,886778,Japan,177355.6
