Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2008,Pokemon Diamond / Pearl Version,DS,120,255729,5827503,Japan,48562.525
2012,Pokémon Black and White,DS,120,124214,5629434,Japan,46911.95
2007,Brain Age 2: More Training in Minutes a Day,DS,105,1082191,4919577,Japan,46853.1142857143
2012,Monster Hunter Freedom 3,PSP,109,193711,4802807,Japan,44062.4495412844
2007,Animal Crossing: Wild World,DS,110,864274,4678977,Japan,42536.1545454545
2011,New Super Mario Bros. Wii,Wii,109,271830,4474248,Japan,41048.1467889908
2008,New Super Mario Bros.,DS,137,388063,5555213,Japan,40549
2014,Animal Crossing: Jump Out,3DS,112,221855,3983621,Japan,35568.0446428571
2009,Wii Fit,Wii,110,476237,3575347,Japan,32503.1545454545
2008,Wii Sports,Wii,110,862874,3423346,Japan,31121.3272727273
2010,Monster Hunter Freedom Unite,PSP,145,460772,4111169,Japan,28352.8896551724
2016,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,111,199879,3109246,Japan,28011.2252252252
2007,Brain Age: Train Your Brain in Minutes a Day,DS,137,661097,3821511,Japan,27894.2408759124
2007,Mario Kart DS,DS,108,954324,2890022,Japan,26759.462962963
2008,Wii Play,Wii,110,596477,2664011,Japan,24218.2818181818
2011,Wii Sports Resort,Wii,132,587815,2805327,Japan,21252.4772727273
2010,Mario Kart Wii,Wii,143,545108,3033370,Japan,21212.3776223776
2011,Wii Fit Plus,Wii,118,249526,2466163,Japan,20899.686440678
2013,Mario Kart 7,3DS,110,314975,2256915,Japan,20517.4090909091
2012,Wii Party,Wii,130,208641,2445025,Japan,18807.8846153846
2014,New Super Mario Bros. 2,3DS,127,97156,2338917,Japan,18416.6692913386
2013,Monster Hunter Tri,3DS,109,232874,1946784,Japan,17860.4036697248
2013,Super Mario 3D Land,3DS,114,202599,1984499,Japan,17407.8859649123
2010,Super Smash Bros. Brawl,Wii,153,141186,2172656,Japan,14200.3660130719
2017,Splatoon,WiiU,136,63816,1562142,Japan,11486.3382352941
2014,New Super Mario Bros. U,WiiU,108,203061,1225548,Japan,11347.6666666667
2016,Mario Kart Wii U,WiiU,136,122629,1307474,Japan,9613.77941176471
2017,MineCraft,PSV,146,187239,1203445,Japan,8242.77397260274
2015,Grand Theft Auto V,PS3,117,85480,942607,Japan,8056.47008547009
2016,Super Smash Bros. Next,WiiU,109,99585,829611,Japan,7611.11009174312
2012,Gran Turismo 5,PS3,110,149551,786221,Japan,7147.46363636364
2013,Warriors Orochi 3,PS3,107,148593,547240,Japan,5114.39252336449
2014,Wagamama Fashion: GirlsMode - Yokubari Sengen!,3DS,118,115096,494049,Japan,4186.85593220339
2018,Persona 5,PS4,120,52619,477921,Japan,3982.675
2016,Grand Theft Auto V,PS4,108,159666,406116,Japan,3760.33333333333
2015,Dragon Quest X: Mezameshi Itsutsu no Shuzoku Online,WiiU,145,157773,380962,Japan,2627.32413793103
2017,MineCraft,PS4,109,120808,276611,Japan,2537.71559633028
2017,Tom Clancy's Rainbow Six: Siege,PS4,108,93398,250431,Japan,2318.80555555556
