Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2009,Pokemon Diamond / Pearl Version,DS,172,132146,5959649,Japan,34649.1220930233
2008,Brain Age 2: More Training in Minutes a Day,DS,158,209557,5129134,Japan,32462.8734177215
2009,New Super Mario Bros.,DS,189,307402,5862615,Japan,31019.126984127
2008,Animal Crossing: Wild World,DS,163,365330,5044307,Japan,30946.6687116564
2012,New Super Mario Bros. Wii,Wii,161,152628,4626876,Japan,28738.3602484472
2010,New Super Mario Bros.,DS,241,378014,6240629,Japan,25894.7261410788
2015,Animal Crossing: Jump Out,3DS,165,240648,4224269,Japan,25601.6303030303
2009,Animal Crossing: Wild World,DS,215,181266,5225573,Japan,24304.9906976744
2009,Wii Sports,Wii,162,226559,3649905,Japan,22530.2777777778
2011,New Super Mario Bros.,DS,293,167488,6408117,Japan,21870.7064846416
2008,Mario Kart DS,DS,161,598461,3488483,Japan,21667.5962732919
2008,Brain Age: Train Your Brain in Minutes a Day,DS,190,167431,3988942,Japan,20994.4315789474
2016,Animal Crossing: New Leaf,3DS,217,246404,4470673,Japan,20602.1797235023
2017,Animal Crossing: New Leaf,3DS,269,284058,4754731,Japan,17675.5799256506
2009,Mario Kart DS,DS,213,235914,3724397,Japan,17485.4319248826
2009,Wii Play,Wii,162,161044,2825055,Japan,17438.6111111111
2011,Mario Kart Wii,Wii,195,366012,3399382,Japan,17432.7282051282
2012,Wii Sports Resort,Wii,184,343265,3148592,Japan,17111.9130434783
2018,Animal Crossing: New Leaf,3DS,321,145094,4899825,Japan,15264.2523364486
2014,Mario Kart 7,3DS,161,181682,2438597,Japan,15146.5652173913
2010,Mario Kart DS,DS,265,169847,3894244,Japan,14695.2603773585
2017,Super Smash Bros. Wii U,3DS,173,73610,2518993,Japan,14560.6531791908
2012,Mario Kart Wii,Wii,247,195193,3594575,Japan,14552.9352226721
2015,New Super Mario Bros. 2,3DS,180,85629,2424546,Japan,13469.7
2011,Mario Kart DS,DS,317,145871,4040115,Japan,12744.8422712934
2013,Mario Kart Wii,Wii,300,112649,3707224,Japan,12357.4133333333
2015,Mario Kart 7,3DS,214,153280,2591877,Japan,12111.5747663551
2011,Super Smash Bros. Brawl,Wii,205,159843,2332499,Japan,11378.043902439
2016,New Super Mario Bros. 2,3DS,232,94052,2518598,Japan,10856.025862069
2016,Mario Kart,3DS,266,139758,2731635,Japan,10269.3045112782
2016,Tomodachi Life,3DS,195,103365,1924068,Japan,9867.01538461538
2017,Mario Kart,3DS,318,176751,2908386,Japan,9145.8679245283
2017,New Super Mario Bros. 2,3DS,284,69811,2588409,Japan,9114.1161971831
2013,Super Smash Bros. Brawl,Wii,310,113763,2557283,Japan,8249.3
2018,Mario Kart,3DS,370,88116,2996502,Japan,8098.65405405405
2017,Mario Kart Wii U,WiiU,188,63763,1371237,Japan,7293.81382978723
2015,Dragon Quest X: Mezameshi Itsutsu no Shuzoku Online,Wii,179,117439,949564,Japan,5304.82681564246
2017,Grand Theft Auto V,PS4,160,145396,551512,Japan,3446.95
2018,Tom Clancy's Rainbow Six: Siege,PS4,160,111582,362013,Japan,2262.58125
2018,MineCraft,PS4,161,76094,352705,Japan,2190.71428571429
2014,Street Fighter IV,PS3,307,83555,570150,Japan,1857.1661237785
2014,BioHazard Director's Cut,PS3,423,88596,88596,Japan,209.446808510638
