Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2008,Wii Sports,Wii,111,9669407,17002020,USA,153171.351351351
2012,Kinect Adventures!,X360,113,2963647,12263822,USA,108529.398230088
2011,New Super Mario Bros. Wii,Wii,111,2167495,11268866,USA,101521.315315315
2011,Wii Sports Resort,Wii,127,2273335,12250573,USA,96461.2047244094
2009,Wii Play,Wii,151,2729899,11712036,USA,77563.1523178808
2015,Grand Theft Auto V,X360,120,573422,8595153,USA,71626.275
2010,Mario Kart Wii,Wii,140,1941825,9682109,USA,69157.9214285714
2011,Wii Fit Plus,Wii,117,1046357,7615635,USA,65090.8974358974
2015,Call of Duty: Ghosts,X360,113,404213,6110462,USA,54074.8849557522
2009,Halo 3,X360,119,1007304,6429453,USA,54029.0168067227
2015,Grand Theft Auto V,PS3,120,425554,6281920,USA,52349.3333333333
2012,Halo: Reach,X360,120,408705,6120993,USA,51008.275
2007,Nintendogs,DS,123,1850631,5445606,USA,44273.2195121951
2009,Call of Duty 4: Modern Warfare,X360,113,489102,4630692,USA,40979.5752212389
2009,Pokemon Diamond / Pearl Version,DS,141,439705,5520296,USA,39151.0354609929
2015,Pokemon X/Y,3DS,117,393372,4394905,USA,37563.2905982906
2016,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,111,790840,4160061,USA,37478.027027027
2008,New Super Mario Bros.,DS,138,1981996,5126703,USA,37150.0217391304
2013,The Elder Scrolls V: Skyrim,X360,113,447125,4023272,USA,35604.1769911504
2015,Minecraft: Xbox 360 Edition,X360,135,930723,4778789,USA,35398.437037037
2016,Grand Theft Auto V,PS4,111,1095097,3921674,USA,35330.3963963964
2013,Super Mario 3D Land,3DS,112,575490,3868960,USA,34544.2857142857
2009,Super Mario Galaxy,Wii,112,427302,3752597,USA,33505.3303571429
2015,Call of Duty: Ghosts,PS3,113,329513,3706089,USA,32797.2477876106
2010,Grand Theft Auto IV,X360,140,521101,4551145,USA,32508.1785714286
2013,Mario Kart 7,3DS,109,680942,3285543,USA,30142.5963302752
2012,Kinect Sports,X360,113,1087240,3145783,USA,27838.7876106195
2012,Zumba Fitness,Wii,111,937049,2844465,USA,25625.8108108108
2008,Brain Age: Train Your Brain in Minutes a Day,DS,142,1642836,3626822,USA,25541
2016,Grand Theft Auto V,XOne,111,875417,2797373,USA,25201.5585585586
2011,Just Dance,Wii,111,658665,2700474,USA,24328.5945945946
2014,New Super Mario Bros. 2,3DS,123,582143,2972837,USA,24169.406504065
2007,Mario Kart DS,DS,111,913817,2634608,USA,23735.2072072072
2009,Brain Age 2: More Training in Minutes a Day,DS,124,402518,2932996,USA,23653.1935483871
2009,Mario Party 8,Wii,136,402841,2932830,USA,21564.9264705882
2009,Link's Crossbow Training,Wii,111,583218,2392672,USA,21555.6036036036
2013,Batman: Arkham City,X360,116,517577,2489759,USA,21463.4396551724
2010,Grand Theft Auto IV,PS3,140,609615,2977600,USA,21268.5714285714
2009,Mario Party DS,DS,111,523773,2337521,USA,21058.7477477477
2012,Red Dead Redemption,X360,137,424799,2842463,USA,20747.9051094891
2011,Uncharted 2: Among Thieves,PS3,116,471200,2364230,USA,20381.2931034483
2012,Gran Turismo 5,PS3,110,548593,2225311,USA,20230.1
2009,Mario & Sonic at the Olympic Games,Wii,113,390451,2283469,USA,20207.6902654867
2014,Nintendo Land,WiiU,110,675301,2150528,USA,19550.2545454545
2017,Uncharted: The Nathan Drake Collection,PS4,117,241355,2218349,USA,18960.2478632479
2009,Call of Duty 4: Modern Warfare,PS3,113,392922,2136423,USA,18906.3982300885
2013,Batman: Arkham City,PS3,116,368125,2178718,USA,18782.0517241379
2014,New Super Mario Bros. U,WiiU,110,441116,1953198,USA,17756.3454545455
2016,MineCraft,XOne,111,1013734,1948050,USA,17550
2015,Super Mario 3D World,WiiU,111,496017,1862843,USA,16782.3693693694
2010,LittleBigPlanet,PS3,114,685117,1873845,USA,16437.2368421053
2009,LEGO Star Wars: The Complete Saga,Wii,113,722001,1774771,USA,15705.9380530973
2016,The Last of Us,PS4,127,448518,1978152,USA,15576
2012,Red Dead Redemption,PS3,137,370817,2124754,USA,15509.1532846715
2009,LEGO Star Wars: The Complete Saga,DS,113,634937,1713609,USA,15164.6814159292
2007,Grand Theft Auto: Liberty City Stories,PSP,114,430813,1687523,USA,14802.8333333333
2014,Diablo III,PC,137,415102,1971012,USA,14386.9489051095
2016,MineCraft,PS3,138,329827,1942081,USA,14073.0507246377
2007,Animal Crossing: Wild World,DS,108,461851,1434032,USA,13278.0740740741
2015,Animal Crossing: New Leaf,3DS,134,351240,1772371,USA,13226.6492537313
2018,Forza Horizon 3,XOne,118,289014,1506071,USA,12763.313559322
2018,Overwatch,PS4,136,264930,1694255,USA,12457.7573529412
2008,Daxter,PSP,147,766961,1830698,USA,12453.7278911565
2012,Wipeout: The Game,Wii,132,386939,1621944,USA,12287.4545454545
2008,Cooking Mama,DS,121,480781,1404061,USA,11603.8099173554
2016,MineCraft,PS4,117,545922,1336483,USA,11422.9316239316
2018,Overwatch,XOne,136,238648,1501318,USA,11039.1029411765
2012,Zumba Fitness,X360,111,476458,1200754,USA,10817.6036036036
2017,Tom Clancy's Rainbow Six: Siege,XOne,109,354381,1164788,USA,10686.128440367
2007,Need for Speed: Most Wanted 5-1-0,PSP,111,321985,933234,USA,8407.51351351351
2016,The Sims 4,PC,122,255368,1023584,USA,8390.03278688525
2017,Tom Clancy's Rainbow Six: Siege,PS4,109,311766,863071,USA,7918.08256880734
2007,Midnight Club 3: DUB Edition,PSP,131,345273,952517,USA,7271.12213740458
2007,Sonic Rush,DS,111,297277,644405,USA,5805.45045045045
